Opened Date,Days Since Start Date,Day of Week,# of Cases
2018-05-04,2313,4,85
2018-05-07,2316,0,81
2018-05-08,2317,1,71
2018-05-09,2318,2,110
2018-05-10,2319,3,101
2018-05-11,2320,4,96
2018-05-14,2323,0,86
2018-05-15,2324,1,106
2018-05-16,2325,2,97
2018-05-17,2326,3,100
2018-05-18,2327,4,72
2018-05-21,2330,0,95
2018-05-22,2331,1,101
2018-05-23,2332,2,103
2018-05-24,2333,3,92
2018-05-25,2334,4,90
2018-05-28,2337,0,4
2018-05-29,2338,1,105
2018-05-30,2339,2,117
2018-05-31,2340,3,114
2018-06-01,2341,4,91
2018-06-04,2344,0,133
2018-06-05,2345,1,132
2018-06-06,2346,2,116
2018-06-07,2347,3,117
2018-06-08,2348,4,101
2018-06-11,2351,0,105
2018-06-12,2352,1,110
